SalesID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,DiscountRate,NetSales,OrderChannel
S000001,2024-06-10 00:00:00,C0180,P0129,25,1859.81,0,46495.25,Mobile
S000002,2024-07-12 00:00:00,C0258,P0144,27,3105.89,0.1,75473.13,Sales Rep
S000003,2025-05-18 00:00:00,C0119,P0131,29,1994.5,0.1,52056.45,Web
S000004,2025-04-15 00:00:00,C0075,P0069,24,2147.24,0,51533.76,Sales Rep
S000005,2024-04-01 00:00:00,C0051,P0044,43,679.3,0,29209.9,Sales Rep
S000006,2024-01-25 00:00:00,C0306,P0062,47,110.31,0,5184.57,Sales Rep
S000007,2025-03-21 00:00:00,C0132,P0143,10,1658.11,0.05,15752.04,Sales Rep
S000008,2024-03-03 00:00:00,C0099,P0025,50,1561.13,0.1,70250.85,Mobile
S000009,2024-05-02 00:00:00,C0221,P0074,37,1361.51,0.2,40300.7,Web
S000010,2024-05-10 00:00:00,C0193,P0093,1,2373.68,0,2373.68,Mobile
S000011,2024-05-04 00:00:00,C0324,P0013,34,2510.14,0,85344.76,Web
S000012,2024-04-22 00:00:00,C0376,P0117,31,2271.93,0.2,56343.86,Sales Rep
S000013,2024-09-10 00:00:00,C0158,P0061,19,620.48,0.2,9431.3,Mobile
S000014,2024-07-09 00:00:00,C0296,P0030,15,2551.44,0.05,36358.02,Web
S000015,2025-08-27 00:00:00,C0031,P0090,11,3065.46,0.05,32034.06,Sales Rep
S000016,2025-11-25 00:00:00,C0087,P0001,32,1603.65,0.05,48750.96,Web
S000017,2025-09-13 00:00:00,C0313,P0140,28,1152.91,0,32281.48,Mobile
S000018,2024-10-22 00:00:00,C0167,P0039,29,1574.39,0.15,38808.71,Mobile
S000019,2025-07-21 00:00:00,C0193,P0023,47,2152.97,0,101189.59,Web
S000020,2024-08-14 00:00:00,C0269,P0053,21,497.11,0.15,8873.41,Web
S000021,2024-12-27 00:00:00,C0099,P0123,49,479.78,0,23509.22,Web
